labname,size_student,size_staff,labdept
2738,14,49,Congo
2739,60,4,Gabon
2740,3,11,Georgia
2741,15,40,China
2742,76,8,Comoros
2743,76,8,Djibouti
2744,40,38,Andorra
2745,9,12,France
2746,83,26,Dominican Republic
2747,52,24,United Kingdom
2748,93,32,Djibouti
2749,35,29,Germany
2750,13,32,Denmark
2751,12,2,Ireland
2752,29,42,Antigua
2753,72,32,Dominica
2754,93,48,Dominican Republic
2755,95,22,United Kingdom
2756,67,6,Cyprus
2757,76,13,Albania
2758,43,15,Afghanistan
2759,30,19,Ireland
2760,15,39,Ecuador
2761,90,4,Colombia
2762,54,38,Djibouti
2763,60,11,Czech
2764,11,21,Dominica
2765,40,2,Japan
2766,86,40,United Kingdom
2767,32,6,Denmark
2768,17,9,Cuba
2769,85,44,Cyprus
2770,48,26,Egypt
2771,90,20,China
2772,92,38,Czech
2773,14,37,East Timor
2774,67,39,Korea South
2775,1,5,Cyprus
2776,7,40,Italy
2777,28,22,Georgia
2778,46,5,Antigua
2779,30,34,United States
2780,37,24,Colombia
2781,43,48,Japan
2782,94,23,Gambia
2783,29,17,France
2784,73,6,Andorra
2785,72,24,China
2786,69,39,Czech
2787,97,26,Italy
2788,14,48,China
2789,83,11,Comoros
2790,43,21,Korea South
2791,58,5,Croatia
2792,31,32,Denmark
2793,41,42,China
2794,78,37,Ecuador
2795,74,5,Ecuador
2796,67,40,Cyprus
2797,8,20,Ireland
2798,87,29,Egypt
2799,9,49,Congo
2800,87,26,Afghanistan
2801,83,33,Croatia
2802,51,4,Dominican Republic
2803,83,7,France
2804,39,15,Italy
2805,15,11,Georgia
2806,50,16,United Kingdom
2807,28,1,Dominican Republic
2808,57,9,Gabon
2809,81,36,Gambia
2810,57,16,Ecuador
2811,47,24,Cyprus
2812,61,10,Andorra
2813,45,11,Colombia
2814,53,37,Argentina
2815,5,46,Colombia
2816,75,26,Antigua
2817,70,23,Denmark
2818,40,1,Afghanistan
2819,26,1,Dominican Republic
2820,1,16,France
2821,16,28,Algeria
2822,13,50,Korea South
2823,24,44,Ecuador
2824,30,26,Italy
2825,8,29,Albania
2826,52,14,Cyprus
2827,62,7,Gabon
2828,76,19,Croatia
2829,77,10,Korea South
2830,65,40,Denmark
2831,1,7,Japan
2832,49,39,Egypt
2833,66,41,Dominica
2834,54,14,United States
2835,18,1,Djibouti
2836,1,11,Argentina
2837,37,16,Congo
2838,91,44,Comoros
2839,86,4,Comoros
2840,77,47,Angola
2841,4,41,Dominican Republic
2842,77,2,Dominican Republic
2843,10,25,Korea South
2844,12,36,Dominica
2845,67,4,Colombia
2846,19,44,Ireland
2847,67,49,Djibouti
2848,22,23,Andorra
2849,5,3,Colombia
2850,94,43,Djibouti
2851,99,2,Cuba
2852,95,17,United States
2853,93,42,Antigua
2854,33,2,Comoros
2855,55,8,Argentina
2856,90,37,Egypt
2857,61,18,United States
2858,9,28,Algeria
2859,5,42,Germany
2860,61,22,Andorra
2861,58,50,Czech
2862,77,29,Albania
2863,37,10,Italy
2864,27,31,Ecuador
2865,6,16,Gabon
2866,8,7,Czech
2867,40,12,Japan
2868,37,15,Andorra
2869,51,9,Costa Rica
2870,28,28,Gabon
2871,98,13,Comoros
2872,97,50,Dominican Republic
2873,57,3,Egypt
2874,99,39,China
2875,73,36,Czech
2876,69,24,United States
2877,18,4,Dominica
2878,63,39,Ireland
2879,41,50,Comoros
2880,88,6,Albania
2881,50,5,Republic
2882,16,39,Egypt
2883,27,5,Gambia
2884,73,45,Korea South
2885,57,24,Czech
2886,18,23,East Timor
2887,20,37,Germany
2888,88,10,Andorra
2889,42,44,Dominican Republic
2890,24,25,Korea South
2891,83,36,Djibouti
2892,27,12,Denmark
2893,51,49,Andorra
2894,17,14,Gabon
2895,65,24,France
2896,13,38,France
2897,10,11,China
2898,74,7,Croatia
2899,48,50,France
2900,76,7,Gabon
2901,47,2,United States
2902,10,9,Angola
2903,38,22,Dominican Republic
2904,91,17,Congo
2905,41,35,Algeria
2906,69,42,Angola
2907,17,1,United Kingdom
2908,23,9,Georgia
2909,48,22,Republic
2910,69,18,Republic
2911,44,45,Cuba
2912,98,48,Colombia
2913,45,27,Denmark
2914,56,17,France
2915,16,46,United Kingdom
2916,85,7,Korea South
2917,80,50,Algeria
2918,76,47,Antigua
2919,37,2,Georgia
2920,41,50,Gabon
2921,65,29,Argentina
2922,15,16,Gabon
2923,37,43,Denmark
2924,73,6,Georgia
2925,21,48,United Kingdom
2926,87,41,Albania
2927,76,17,Korea South
2928,55,35,Gambia
2929,42,5,Argentina
2930,59,11,Gabon
2931,60,32,Ecuador
2932,1,39,Ireland
2933,93,41,Dominica
2934,73,37,Antigua
2935,63,26,Comoros
2936,87,28,Korea South
2937,93,8,Argentina
2938,38,29,Antigua
2939,46,33,Italy
2940,95,50,Antigua
2941,55,35,Ecuador
2942,82,28,Argentina
2943,71,47,Republic
2944,34,44,Gabon
2945,41,44,Angola
2946,61,5,Czech
2947,65,9,Gambia
2948,46,19,Republic
2949,75,15,Comoros
2950,81,20,Czech
2951,57,15,Cuba
2952,43,35,Dominican Republic
2953,19,8,Colombia
2954,76,44,Italy
2955,3,10,East Timor
2956,88,27,Afghanistan
2957,5,27,Czech
2958,80,42,Cuba
2959,99,14,Georgia
2960,79,19,Dominican Republic
2961,7,43,United Kingdom
2962,37,41,United States
2963,81,25,Dominica
2964,89,46,Costa Rica
2965,64,29,Japan
2966,77,32,United Kingdom
2967,47,29,Colombia
2968,73,41,Cyprus
2969,53,10,Algeria
2970,94,35,Germany
2971,87,39,Republic
2972,88,23,Cyprus
2973,51,7,Georgia
2974,82,44,Georgia
2975,58,5,Ireland
2976,19,31,China
2977,24,43,Djibouti
2978,94,40,Cuba
2979,16,1,Albania
2980,46,27,Antigua
2981,56,14,Gabon
2982,72,35,Italy
2983,45,31,Angola
2984,15,29,Colombia
2985,24,38,Argentina
2986,82,30,Gabon
2987,39,48,Albania
2988,85,14,Costa Rica
2989,2,42,Comoros
2990,7,12,Gambia
2991,79,29,Dominican Republic
2992,42,9,Republic
2993,6,17,Ireland
2994,3,30,Algeria
2995,18,18,Georgia
2996,58,10,Czech
2997,21,46,Czech
2998,22,30,Colombia
2999,97,29,Congo
3000,39,36,Czech
3001,6,24,Egypt
3002,22,46,Egypt
3003,17,8,Cyprus
3004,46,30,Cyprus
3005,23,6,Ireland
3006,64,18,Colombia
3007,9,13,Gambia
3008,3,47,Egypt
3009,21,19,Algeria
3010,53,29,Korea South
3011,59,43,Ecuador
3012,5,24,Japan
3013,22,44,Gabon
3014,9,3,Italy
3015,43,3,Argentina
3016,7,13,Italy
3017,30,6,Germany
3018,40,28,Algeria
3019,57,10,Italy
3020,73,15,Dominica
3021,95,18,Comoros
3022,51,31,Costa Rica
3023,66,9,Cuba
3024,26,13,Albania
3025,37,40,Angola
3026,25,2,Korea South
3027,3,21,United States
3028,75,3,Japan
3029,70,24,Georgia
3030,91,33,Albania
3031,73,46,Czech
3032,86,35,Italy
3033,96,21,East Timor
3034,80,23,Afghanistan
3035,22,23,Ecuador
3036,84,16,Congo
3037,2,16,Japan
3038,43,19,Ecuador
3039,78,8,Czech
3040,67,2,Republic
3041,19,44,United Kingdom
3042,36,49,Germany
3043,25,31,Croatia
3044,39,26,Cuba
3045,99,37,Dominica
3046,87,25,Angola
3047,1,19,Ireland
3048,91,24,Congo
3049,78,39,Djibouti
3050,90,6,Comoros
3051,58,50,Congo
3052,75,42,Ireland
3053,21,13,Czech
3054,59,43,Cuba
3055,60,41,Cyprus
3056,83,44,Dominican Republic
3057,97,37,Argentina
3058,84,17,Dominica
3059,56,15,Afghanistan
3060,62,13,East Timor
3061,71,37,Ecuador
3062,32,42,Ireland
3063,32,46,Georgia
3064,16,41,Angola
3065,11,36,Ireland
3066,23,32,Cuba
3067,93,37,France
3068,86,4,Korea South
3069,18,10,France
3070,10,10,Gambia
3071,81,24,Colombia
3072,66,34,Angola
3073,83,28,Dominica
3074,82,32,Dominican Republic
3075,98,44,Angola
3076,4,20,Denmark
3077,70,13,United Kingdom
3078,41,27,Japan
3079,6,35,Albania
3080,76,12,Argentina
3081,73,20,Djibouti
3082,58,20,Egypt
3083,91,39,Gabon
3084,10,5,Algeria
3085,17,46,East Timor
3086,78,20,Congo
3087,43,36,China
3088,7,36,Afghanistan
3089,50,9,Dominican Republic
3090,94,23,Djibouti
3091,81,33,United States
3092,63,33,Czech
3093,99,6,United Kingdom
3094,74,3,Albania
3095,97,23,Congo
3096,41,8,United States
3097,5,43,Afghanistan
3098,44,20,Gabon
3099,26,12,East Timor
3100,45,24,Dominican Republic
3101,15,8,Georgia
3102,77,18,Argentina
3103,25,11,Gambia
3104,44,42,Germany
3105,39,46,Italy
3106,18,25,Japan
3107,94,40,Congo
3108,21,28,Gambia
3109,64,12,Czech
3110,78,38,United Kingdom
3111,92,6,Andorra
3112,37,7,United Kingdom
3113,67,6,Gambia
3114,100,7,Djibouti
3115,98,39,Cuba
3116,24,4,Costa Rica
3117,77,45,Colombia
3118,95,20,Afghanistan
3119,18,29,Ecuador
3120,44,4,China
3121,87,9,East Timor
3122,72,45,United Kingdom
3123,21,20,Algeria
3124,19,30,Costa Rica
3125,28,44,Djibouti
3126,58,6,Ecuador
3127,70,32,Ecuador
3128,79,14,France
3129,56,36,France
3130,35,47,China
3131,30,27,Georgia
3132,48,21,Japan
3133,19,29,Gambia
3134,29,49,Italy
3135,52,35,Algeria
3136,13,50,Argentina
3137,16,46,Argentina
3138,41,2,Gambia
3139,7,28,Korea South
3140,94,47,France
3141,41,50,Germany
3142,51,21,Ireland
3143,60,4,Czech
3144,29,22,Germany
3145,1,22,Comoros
3146,34,29,France
3147,46,26,France
3148,90,36,Ireland
3149,27,42,Ecuador
3150,76,37,Gabon
3151,73,18,United Kingdom
3152,58,37,Egypt
3153,38,18,Japan
3154,22,45,Czech
3155,76,18,East Timor
3156,99,11,Albania
3157,24,38,China
3158,94,1,Antigua
3159,70,15,Ecuador
3160,41,23,Denmark
3161,65,35,Czech
3162,71,36,France
3163,11,42,Georgia
3164,60,20,East Timor
3165,24,45,Ireland
3166,26,38,Argentina
3167,55,22,Japan
3168,41,24,Croatia
3169,64,15,Germany
3170,69,29,Japan
3171,87,23,Djibouti
3172,21,45,France
3173,81,38,Cuba
3174,21,7,Angola
3175,32,9,Argentina
3176,45,28,Italy
3177,22,43,Algeria
3178,97,50,Republic
3179,64,6,Algeria
3180,18,14,Congo
3181,38,6,Republic
3182,64,29,East Timor
3183,40,48,Germany
3184,97,42,Djibouti
3185,39,45,Egypt
3186,51,42,Antigua
3187,4,23,East Timor
3188,68,20,United Kingdom
3189,39,39,Korea South
3190,78,30,Italy
3191,48,13,Angola
3192,57,36,Colombia
3193,3,49,Ecuador
3194,86,13,Albania
3195,8,29,Egypt
3196,88,10,Ireland
3197,45,23,Georgia
3198,4,48,Czech
3199,56,41,Djibouti
3200,5,8,Argentina
3201,22,13,Djibouti
3202,67,31,Djibouti
3203,47,33,Italy
3204,16,15,Korea South
3205,48,44,Ecuador
3206,18,26,Costa Rica
3207,34,4,Argentina
3208,34,18,Gabon
3209,72,11,Djibouti
3210,22,12,Ireland
3211,32,33,Antigua
3212,78,47,Colombia
3213,35,7,Comoros
3214,11,38,Dominica
3215,24,31,Germany
3216,57,5,Costa Rica
3217,20,24,Colombia
3218,54,37,United Kingdom
3219,62,9,Japan
3220,24,25,Croatia
3221,10,18,Ireland
3222,61,10,Albania
3223,8,17,Ecuador
3224,3,5,Argentina
3225,21,18,Andorra
3226,80,2,France
3227,24,12,Djibouti
3228,42,16,United States
3229,79,2,Georgia
3230,25,27,Georgia
3231,32,39,Croatia
3232,94,23,Andorra
3233,55,2,United States
3234,59,7,Japan
3235,77,18,Egypt
3236,29,16,Congo
3237,51,24,China
3238,5,31,Georgia
3239,73,20,Congo
3240,87,33,Comoros
3241,21,46,Korea South
3242,15,13,Gabon
3243,16,8,Gambia
3244,87,37,Dominican Republic
3245,52,14,China
3246,5,1,Egypt
3247,99,32,Germany
3248,34,1,Cyprus
3249,80,27,Albania
3250,72,42,Ireland
3251,91,2,Comoros
3252,13,50,Algeria
3253,77,29,Cyprus
3254,37,35,Georgia
3255,81,32,Costa Rica
3256,15,12,Colombia
3257,4,7,Gambia
3258,89,16,Italy
3259,92,15,Albania
3260,49,20,Gabon
3261,84,16,France
3262,21,31,Cuba
3263,72,39,Cuba
3264,86,49,Georgia
3265,17,17,Albania
3266,97,1,Ireland
3267,54,48,Republic
3268,8,29,Congo
3269,51,9,East Timor
3270,68,2,Korea South
3271,99,11,Antigua
3272,20,50,Croatia
3273,100,21,United States
3274,48,41,Ireland
3275,39,12,Germany
3276,61,38,Ecuador
3277,89,14,Argentina
3278,69,2,Germany
3279,84,29,Argentina
3280,62,6,Comoros
3281,49,20,Angola
3282,51,30,Costa Rica
3283,72,16,Egypt
3284,60,25,Germany
3285,59,34,Italy
3286,13,17,East Timor
3287,97,21,Korea South
3288,79,1,Angola
3289,58,14,Dominica
3290,64,29,Ireland
3291,95,20,Republic
3292,71,34,United States
3293,25,33,France
3294,81,23,Croatia
3295,25,21,Czech
3296,37,27,Albania
3297,69,16,Angola
3298,19,34,Egypt
3299,63,36,Croatia
3300,44,25,Angola
3301,10,27,Dominican Republic
3302,36,39,Czech
3303,53,50,Argentina
3304,34,25,Croatia
3305,37,20,Argentina
3306,18,8,East Timor
3307,44,22,Ireland
3308,93,24,East Timor
3309,3,45,Germany
3310,34,30,Germany
3311,6,22,Dominican Republic
3312,96,8,Dominican Republic
3313,59,41,Cuba
3314,8,28,United States
3315,70,38,United States
3316,59,38,Antigua
3317,72,23,Croatia
3318,23,11,East Timor
3319,89,18,Gabon
3320,4,3,Egypt
3321,34,13,Djibouti
3322,50,7,Congo
3323,16,22,Egypt
3324,49,26,United Kingdom
3325,70,38,China
3326,43,36,Ecuador
3327,100,18,Dominican Republic
3328,43,4,France
3329,85,33,Dominican Republic
3330,33,46,Korea South
3331,94,30,Djibouti
3332,26,26,China
3333,14,26,Gabon
3334,50,38,Gabon
3335,79,14,Dominica
3336,5,29,Georgia
3337,77,27,Costa Rica
3338,45,21,Dominican Republic
3339,13,18,United Kingdom
3340,26,23,Gambia
3341,74,45,Algeria
3342,9,12,Germany
3343,30,30,Congo
3344,54,15,Georgia
3345,69,32,Andorra
3346,18,19,Cyprus
3347,93,48,Egypt
3348,63,35,Denmark
3349,65,20,Japan
3350,68,10,France
3351,57,27,Dominican Republic
3352,86,22,Argentina
3353,86,49,China
3354,72,42,China
3355,22,14,Egypt
3356,19,17,Algeria
3357,37,9,Ecuador
3358,57,14,Albania
3359,82,40,Cuba
3360,25,14,Japan
3361,44,2,Ireland
3362,19,26,Costa Rica
3363,65,32,Korea South
3364,66,47,Ireland
3365,9,31,Colombia
3366,71,29,Costa Rica
3367,81,47,Andorra
3368,93,46,East Timor
3369,70,24,Croatia
3370,80,32,Germany
3371,36,35,Georgia
3372,26,47,Angola
3373,93,41,Korea South
3374,27,25,Georgia
3375,49,50,Ireland
3376,75,47,Denmark
3377,29,26,France
3378,33,17,Comoros
3379,1,16,Ireland
3380,13,46,Colombia
3381,22,31,Dominica
3382,94,4,Djibouti
3383,85,28,Costa Rica
3384,53,47,France
3385,38,21,Georgia
3386,57,28,Argentina
3387,11,21,Ecuador
3388,42,20,Algeria
3389,54,1,Gabon
3390,52,22,Czech
3391,27,50,Denmark
3392,11,32,Congo
3393,92,29,Angola
3394,4,14,France
3395,76,22,Italy
3396,68,33,Djibouti
3397,74,37,China
3398,89,6,Dominican Republic
3399,18,50,Italy
3400,86,16,Dominica
3401,54,44,Korea South
3402,28,46,Afghanistan
3403,32,13,Cuba
3404,2,7,Republic
3405,48,39,Antigua
3406,66,11,Croatia
3407,91,5,Ecuador
3408,68,47,Croatia
3409,98,12,Germany
3410,74,35,Djibouti
3411,73,45,Congo
3412,99,37,Dominican Republic
3413,62,1,Georgia
3414,23,46,Republic
3415,94,3,Costa Rica
3416,49,23,Algeria
3417,82,15,Japan
3418,30,22,Czech
3419,15,26,Denmark
3420,43,19,Egypt
3421,34,30,Cyprus
3422,25,4,Korea South
3423,17,46,Dominican Republic
3424,56,4,Ecuador
3425,13,28,China
3426,14,16,Germany
3427,77,14,Korea South
3428,93,47,China
3429,72,22,Denmark
3430,11,8,Algeria
3431,58,20,Congo
3432,36,21,Congo
3433,58,27,Denmark
3434,57,41,Algeria
3435,80,50,East Timor
3436,12,48,Egypt
3437,24,20,Gabon
3438,15,6,Afghanistan
3439,100,18,Argentina
3440,2,20,China
3441,19,40,Egypt
3442,54,19,China
3443,33,43,Korea South
3444,70,37,Czech
3445,81,12,France
3446,85,40,Afghanistan
3447,74,45,Dominican Republic
3448,38,5,Algeria
3449,27,1,Andorra
3450,40,20,Andorra
3451,98,6,China
3452,5,10,East Timor
3453,31,18,Gambia
3454,36,14,Djibouti
3455,61,19,Congo
3456,77,32,Czech
3457,97,8,Gambia
3458,21,8,Dominica
3459,73,18,Afghanistan
3460,15,26,Republic
3461,18,32,Algeria
3462,3,14,Italy
3463,71,3,Djibouti
3464,35,1,Republic
3465,35,45,Dominican Republic
3466,8,18,Argentina
3467,1,31,Afghanistan
3468,40,18,Gambia
3469,6,12,East Timor
3470,12,39,Algeria
3471,28,48,Argentina
3472,81,1,Japan
3473,73,49,Colombia
3474,22,13,Argentina
3475,10,16,Argentina
3476,75,30,Albania
3477,20,43,Croatia
3478,36,18,Cyprus
3479,8,27,Algeria
3480,36,31,Afghanistan
3481,40,41,Korea South
3482,54,21,Djibouti
3483,34,37,Czech
3484,99,48,Djibouti
3485,37,2,United Kingdom
3486,26,16,Andorra
3487,97,28,Republic
3488,56,5,Andorra
3489,33,12,Dominican Republic
3490,87,20,Afghanistan
3491,83,46,Algeria
3492,90,38,Republic
3493,57,14,Antigua
3494,70,25,Algeria
3495,81,36,Georgia
3496,53,28,Germany
3497,29,10,Croatia
3498,9,25,Congo
3499,83,4,Algeria
3500,17,29,Egypt
3501,17,34,United Kingdom
3502,82,21,Korea South
3503,53,17,Croatia
3504,27,18,Cyprus
3505,28,48,Italy
3506,40,40,Angola
3507,56,28,Colombia
3508,97,16,Gambia
3509,35,2,Dominica
3510,59,13,Congo
3511,62,5,Andorra
3512,89,11,Korea South
3513,44,18,Dominican Republic
3514,39,31,United States
3515,93,40,United Kingdom
3516,92,27,Albania
3517,67,5,Andorra
3518,45,41,France
3519,1,19,Georgia
3520,28,35,Cuba
3521,92,29,Gabon
3522,92,22,United Kingdom
3523,41,10,Italy
3524,4,32,Denmark
3525,3,15,Angola
3526,80,26,Andorra
3527,63,29,Costa Rica
3528,27,25,Albania
3529,30,33,Gambia
3530,59,17,East Timor
3531,8,26,Korea South
3532,97,37,Andorra
3533,82,47,East Timor
3534,1,47,Cyprus
3535,84,42,Colombia
3536,26,3,Antigua
3537,70,27,France
3538,54,3,Antigua
3539,94,34,Albania
3540,46,19,Germany
3541,99,2,Argentina
3542,56,50,Republic
3543,2,16,Albania
3544,19,8,Colombia
3545,94,22,France
3546,7,8,Egypt
3547,81,24,Germany
3548,97,43,East Timor
3549,46,5,Japan
3550,28,1,Angola
3551,64,12,Korea South
3552,12,40,Dominica
3553,75,2,Denmark
3554,45,4,Cyprus
3555,47,47,Antigua
3556,47,31,Djibouti
3557,34,8,Cyprus
3558,31,5,Argentina
3559,58,3,Republic
3560,51,16,United States
3561,36,34,Comoros
3562,20,16,Cuba
3563,31,46,Denmark
3564,10,19,Afghanistan
3565,37,25,Comoros
3566,34,14,Croatia
3567,49,18,Czech
3568,2,21,Dominican Republic
3569,29,25,Gambia
3570,4,6,Egypt
3571,5,34,Italy
3572,5,32,Korea South
3573,60,32,Gabon
3574,72,46,Korea South
3575,28,6,Cuba
3576,78,9,East Timor
3577,94,13,Comoros
3578,50,34,Algeria
3579,22,17,Ireland
3580,7,42,Andorra
3581,43,38,Dominica
3582,91,18,Colombia
3583,96,30,Ecuador
3584,72,12,China
3585,7,39,Colombia
3586,31,16,Dominica
3587,81,13,Republic
3588,37,7,Congo
3589,66,43,Republic
3590,64,32,Republic
3591,83,7,Afghanistan
3592,100,24,France
3593,70,33,Costa Rica
3594,28,47,Republic
3595,81,40,Albania
3596,52,20,Dominican Republic
3597,60,8,Albania
3598,78,27,Czech
3599,66,40,Italy
3600,24,23,Dominica
3601,42,29,Albania
3602,60,14,Republic
3603,33,10,Republic
3604,13,49,Ecuador
3605,28,26,Cuba
3606,9,15,Gabon
3607,66,32,Japan
3608,54,50,Georgia
3609,8,4,Croatia
3610,97,35,Gambia
3611,79,2,Antigua
3612,88,2,Afghanistan
3613,62,11,Japan
3614,51,26,Gabon
3615,79,2,Algeria
3616,4,10,Cuba
3617,82,14,East Timor
3618,87,14,Gabon
3619,13,5,Republic
3620,6,16,Afghanistan
3621,12,44,Colombia
3622,40,8,Costa Rica
3623,45,43,Georgia
3624,81,41,Ireland
3625,63,38,Comoros
3626,96,31,Japan
3627,89,26,Antigua
3628,5,33,Denmark
3629,100,1,France
3630,81,49,Republic
3631,44,4,East Timor
3632,42,40,Dominican Republic
3633,7,8,Dominican Republic
3634,26,25,Algeria
3635,4,19,Congo
3636,62,49,Colombia
3637,48,33,Afghanistan
3638,62,18,Colombia
3639,86,12,Andorra
3640,50,32,Dominican Republic
3641,24,3,Croatia
3642,43,39,France
3643,60,10,Cyprus
3644,68,16,Egypt
3645,27,9,Djibouti
3646,31,27,Korea South
3647,84,38,Gabon
3648,52,42,Comoros
3649,72,39,Argentina
3650,82,14,Antigua
3651,31,19,Japan
3652,11,16,Croatia
3653,86,32,Djibouti
3654,9,35,Antigua
3655,16,21,Denmark
3656,49,36,Comoros
3657,60,3,Dominica
3658,41,27,Georgia
3659,8,26,Algeria
3660,52,4,Germany
3661,53,46,Congo
3662,70,20,Gabon
3663,37,10,Italy
3664,65,47,Gambia
3665,24,18,Japan
3666,8,16,Djibouti
3667,26,24,Egypt
3668,15,8,Costa Rica
3669,30,31,Gabon
3670,35,8,Djibouti
3671,69,10,Japan
3672,59,19,China
3673,24,47,Egypt
3674,65,46,Argentina
3675,78,17,Egypt
3676,46,45,United States
3677,18,13,Colombia
3678,65,42,East Timor
3679,13,27,Ireland
3680,43,48,Italy
3681,73,19,Gabon
3682,61,1,Croatia
3683,37,36,Dominica
3684,69,3,Algeria
3685,37,19,Afghanistan
3686,10,45,Egypt
3687,46,7,Korea South
3688,4,8,East Timor
3689,85,9,Egypt
3690,99,9,Germany
3691,84,31,Republic
3692,55,6,Germany
3693,97,41,United States
3694,87,16,Italy
3695,37,20,Djibouti
3696,14,12,Costa Rica
3697,38,37,Czech
3698,80,21,Afghanistan
3699,97,18,Congo
3700,22,22,Georgia
3701,8,45,Gabon
3702,13,32,Dominica
3703,7,10,Algeria
3704,20,4,Dominican Republic
3705,14,33,Republic
3706,100,10,France
3707,98,40,Congo
3708,76,27,Denmark
3709,64,44,Egypt
3710,92,10,Ecuador
3711,89,26,Republic
3712,94,5,Djibouti
3713,60,47,Ireland
3714,81,42,Georgia
3715,86,44,Italy
3716,89,19,Denmark
3717,33,35,East Timor
3718,62,44,Korea South
3719,54,47,Germany
3720,85,24,Cyprus
3721,82,43,China
3722,75,24,Cyprus
3723,32,24,Germany
3724,93,26,Czech
3725,48,1,Colombia
3726,59,15,Ecuador
3727,1,25,Gabon
3728,31,42,Costa Rica
3729,2,39,Germany
3730,11,47,Georgia
3731,19,3,United Kingdom
3732,84,9,Ecuador
3733,99,31,Algeria
3734,52,17,Croatia
3735,68,10,Croatia
3736,4,37,Cyprus
3737,34,16,Croatia
3738,11,8,China
3739,94,1,Czech
3740,60,12,Denmark
3741,98,15,Afghanistan
3742,68,5,Gambia
3743,20,2,Gabon
3744,5,17,Georgia
3745,90,31,France
3746,96,15,France
3747,9,23,Comoros
3748,13,23,Croatia
3749,46,46,China
3750,37,17,Angola
3751,43,27,France
3752,95,17,Egypt
3753,26,19,Antigua
3754,26,23,Dominican Republic
3755,45,22,Georgia
3756,82,23,France
3757,51,4,Algeria
3758,86,20,Costa Rica
3759,29,8,Denmark
3760,88,27,France
3761,64,5,Costa Rica
3762,83,15,Angola
3763,48,11,Djibouti
3764,17,50,Cuba
3765,28,10,Andorra
3766,48,31,Argentina
3767,81,49,Dominica
3768,28,7,East Timor
3769,75,44,Costa Rica
3770,13,28,France
3771,70,39,Gabon
3772,45,20,Dominica
3773,80,47,Costa Rica
3774,48,34,Germany
3775,9,22,Korea South
3776,71,29,Congo
3777,50,4,Ecuador
3778,23,27,Georgia
3779,19,6,Albania
3780,39,22,Angola
3781,91,22,Afghanistan
3782,45,50,Dominican Republic
3783,24,7,Argentina
3784,31,38,Italy
3785,49,39,Georgia
3786,42,33,Gabon
3787,20,27,United States
3788,69,42,Dominican Republic
3789,76,43,Antigua
3790,48,26,Korea South
3791,47,7,Gabon
3792,85,32,East Timor
3793,86,14,China
3794,60,19,Costa Rica
3795,75,33,Angola
3796,50,5,Denmark
3797,24,16,Republic
3798,38,44,Dominica
3799,51,24,Korea South
3800,39,5,Cuba
3801,46,24,United States
3802,10,39,Gabon
3803,42,44,United Kingdom
3804,99,10,Cuba
3805,74,6,Afghanistan
3806,36,23,Cyprus
3807,17,17,Costa Rica
3808,30,16,Korea South
3809,100,12,China
3810,13,9,Germany
3811,66,22,Algeria
3812,20,37,Republic
3813,93,37,East Timor
3814,28,21,Ireland
3815,40,47,Argentina
3816,44,44,Gabon
3817,85,32,Korea South
3818,55,40,Comoros
3819,64,40,United Kingdom
3820,100,25,Republic
3821,85,45,Angola
3822,64,13,Japan
3823,53,44,Egypt
3824,70,20,Italy
3825,50,23,Colombia
3826,76,18,Antigua
3827,51,35,Dominican Republic
3828,82,5,Gambia
3829,4,48,Afghanistan
3830,53,18,Gambia
3831,20,37,Egypt
3832,23,7,China
3833,33,35,Gabon
3834,20,14,Georgia
3835,87,35,Croatia
3836,1,40,United Kingdom
3837,62,10,Antigua
3838,76,45,Gambia
3839,20,6,Croatia
3840,37,4,Dominican Republic
3841,83,24,Croatia
3842,3,21,Denmark
3843,65,32,Comoros
3844,21,17,Angola
3845,99,1,Ecuador
3846,3,10,Cyprus
3847,72,39,Dominican Republic
3848,50,17,United Kingdom
3849,88,30,Costa Rica
3850,65,4,Georgia
3851,25,28,Congo
3852,33,10,East Timor
3853,84,33,Colombia
3854,40,27,Gambia
3855,71,5,Denmark
3856,2,16,Georgia
3857,36,40,Albania
3858,87,27,Japan
3859,34,41,Dominica
3860,55,44,France
3861,92,46,Egypt
3862,37,46,Albania
3863,81,8,East Timor
3864,76,5,East Timor
3865,93,24,United Kingdom
3866,78,21,Albania
3867,91,30,Dominica
3868,16,20,Dominican Republic
3869,84,1,East Timor
3870,2,47,Djibouti
3871,6,17,Croatia
3872,29,50,Egypt
3873,38,21,Afghanistan
3874,41,34,China
3875,39,44,Comoros
3876,87,18,United States
3877,20,20,Germany
3878,46,27,Costa Rica
3879,35,31,Korea South
3880,98,48,Dominica
3881,33,1,Ireland
3882,41,18,Czech
3883,89,22,Albania
3884,11,27,Germany
3885,95,35,Djibouti
3886,99,38,Japan
3887,96,16,Comoros
3888,100,45,Djibouti
3889,89,49,Gabon
3890,40,44,Gambia
3891,65,11,Gabon
3892,84,37,Antigua
3893,18,44,Andorra
3894,14,22,Georgia
3895,73,46,Georgia
3896,91,46,Cyprus
3897,63,23,Cuba
3898,52,8,Egypt
3899,48,32,Italy
3900,64,7,Cuba
3901,68,45,Antigua
3902,88,20,United Kingdom
3903,44,3,Cyprus
3904,82,23,China
3905,64,33,Gabon
3906,10,15,Dominica
3907,31,43,Ireland
3908,96,50,Dominica
3909,87,44,Gambia
3910,54,25,Dominica
3911,51,36,United States
