scolname,location_country,location_state,location_city,scale_students,scale_faculty
David Gill,Korea South,own,recently,543,3704
Kelly Pena,Comoros,tend,describe,7358,1759
Angela Ward,Afghanistan,hard,particular,2411,2213
Lee Adams,China,soldier,husband,8635,2579
Bryan Warren,Republic,although,in,713,1084
Adam Malone,Dominican Republic,account,yes,1767,1033
Molly Glass DDS,Georgia,term,room,7017,4328
Casey Mckenzie,Costa Rica,sport,check,5178,1483
Angela Mitchell,Albania,throughout,door,6911,3339
Hayley Warner,Congo,store,contain,6781,1917
Michael Gardner,Denmark,should,else,5818,1366
Jill Howard,United Kingdom,benefit,car,3589,4661
Susan Hunter,Albania,add,image,8554,511
Scott Hanna,United States,consumer,enter,5301,4763
Jennifer Simmons,Gabon,far,find,8243,3737
Alison Torres,Germany,feeling,later,498,2369
Jennifer Gordon,Antigua,free,view,8222,110
Marvin Armstrong,Dominica,I,institution,8170,3925
Katie Obrien,Denmark,show,thus,2338,3395
Melissa Maxwell,Republic,use,life,5752,4071
Richard Schultz,Korea South,current,specific,8195,3000
Karen Spencer,Georgia,evening,there,1126,3218
Christina James,Croatia,huge,worker,6656,3269
Christine Evans,United Kingdom,senior,program,6254,3343
Michael Brady,Angola,so,leave,2075,4472
Mary Ryan,Korea South,relate,discover,8609,3524
Ashley Bernard,Croatia,fill,career,1235,1507
Jessica Hodges,Costa Rica,then,interesting,4621,4385
Megan Watson,Andorra,career,lot,233,3407
Erika Clark,Cuba,open,share,2280,3049
Scott Benjamin,Czech,civil,try,6586,3670
Joseph Jones,United Kingdom,under,most,4609,3679
Emily Griffin,Antigua,side,tell,2122,4059
Luke Benson,Djibouti,yard,near,318,2765
Maria Hoffman,Italy,try,on,4377,1310
Melody Phelps,Dominican Republic,arrive,organization,2742,2662
Katelyn Carter,Colombia,seem,something,5065,3475
Daniel Davenport,France,citizen,easy,8498,3227
Cynthia Ward,Dominican Republic,whole,police,9262,1241
Natalie Steele,Japan,necessary,campaign,8743,728
Carrie Brown,Gambia,another,begin,2283,3172
Wayne Ruiz,Antigua,campaign,evening,6270,3506
Jennifer Carrillo,Ireland,film,race,3406,4571
Ernest Young,Antigua,campaign,although,8224,726
Eric Rocha,East Timor,prove,charge,2912,582
Eddie Morales,Dominica,fine,within,9565,3732
Timothy Weber,Comoros,hundred,table,7548,4695
William Coleman,Croatia,share,into,307,2363
Nicholas Chapman,Italy,far,report,7656,1219
Christopher Johnson,Korea South,production,relate,2479,3029
Adam Willis,Italy,family,seem,4578,535
Victoria Rice,Gambia,three,blue,4580,2186
Christian Lambert,Argentina,arm,year,4395,501
Kevin Campbell,France,loss,I,2519,1375
Maria Garcia,Afghanistan,way,item,1413,3263
Laura Hale,Germany,religious,benefit,8409,1055
Jason Haynes,United States,list,people,5102,4207
Elizabeth Davis,Andorra,too,body,4805,2194
Carla Henry,Egypt,firm,build,3781,3101
Alexander Watson,Cyprus,fire,over,7217,3552
Denise Taylor,East Timor,life,no,1298,717
Janice Williams,Georgia,impact,experience,3356,2903
Cameron Wilson,Costa Rica,view,out,7224,1719
Kristina Christensen,Egypt,together,such,7803,3486
Jacqueline Griffin,Japan,put,major,6472,2220
Jason Johnson,Gambia,later,company,3545,2538
Kayla Roman,Comoros,fine,energy,6661,1366
David Trujillo,Argentina,public,wind,3448,2829
Jennifer Mckenzie,Argentina,receive,teach,6551,482
Michael Odonnell,Djibouti,force,institution,577,3536
Phillip Murphy,France,direction,yourself,5187,1696
William Gonzalez,Dominica,actually,loss,8504,947
Jennifer Taylor,Czech,often,free,100,4273
Thomas Perez,United States,possible,teach,5604,2357
Terri Bailey,Gabon,someone,worker,2792,272
Jesus Sosa,United States,read,join,9024,2738
Sherry Mitchell,China,appear,rise,707,168
Travis Barry,Japan,anyone,management,7958,500
Brandon Cardenas,Angola,full,other,7313,1720
Jonathan Collins,Colombia,station,hotel,4056,2470
Brian Rivera,Georgia,determine,past,2110,955
Wayne Tyler,Colombia,play,western,3296,748
Hayden Kelly,United States,help,front,5373,2817
Dorothy Carpenter,Angola,let,exist,6510,691
Sandra Small,Comoros,suggest,add,9623,805
Sharon Porter,Japan,again,option,4645,4024
Joseph Ward,Gambia,hotel,half,5931,4842
Daniel Johnson,Albania,old,sing,5051,2507
Michael May,Congo,throw,us,4247,1182
Jeffrey Smith,Dominica,call,face,1736,3916
John Brown,Egypt,state,history,1040,3624
Charles Wright,France,summer,director,7970,2654
Nathan Patel,Dominican Republic,member,here,4938,1218
Tiffany Palmer,Congo,far,record,7304,2072
Amber Miller,Egypt,be,second,9476,831
Dr. Rachel Rodriguez,Djibouti,war,cover,8496,3410
Brandon White,Andorra,imagine,catch,6834,4419
James Woods,Comoros,star,light,4267,2221
Tiffany Wilson DVM,Cuba,natural,health,6014,2099
Karen Hardy,Albania,pattern,him,1543,4029
Michael Walton,Cyprus,animal,property,5373,4445
Kristen Olson,Japan,to,to,8457,4323
Jonathan Sutton,Djibouti,play,matter,8068,3531
Chad Green,Italy,process,almost,7086,3066
Todd Christensen,Argentina,seek,nothing,3478,2901
Heidi Ramos,Antigua,soldier,seek,5905,3602
Jennifer Mitchell,China,establish,source,5926,1084
Marc Thornton,Ireland,let,air,7485,3573
Keith Jackson,Denmark,performance,expect,9621,3628
Jean Kramer,Italy,strategy,edge,8105,2157
Natasha Morton,Costa Rica,campaign,quite,8531,1725
Tony Solis,Comoros,like,simply,2186,634
Dawn Moran,Denmark,role,ask,6557,2065
Lauren Washington,Georgia,nor,certain,524,2253
Chelsea Stewart,Congo,foot,cut,9181,1852
Brittney Meyer,United Kingdom,western,go,9165,3196
Daisy Mccormick,Japan,design,as,254,2784
Lauren Walters,Ireland,oil,brother,243,3583
Shaun Guzman,Republic,bed,every,5180,3206
Michael Murphy,Cuba,account,walk,3928,3919
Timothy Tanner,Afghanistan,blood,environment,5222,3549
Angela Smith,Italy,point,finish,5399,3189
Keith Garcia,Afghanistan,mind,husband,6514,1871
Cindy Shaw,Algeria,safe,military,5203,3814
Denise Mccann,Korea South,room,tonight,9305,4420
Mr. Luis Campbell,Croatia,thousand,fear,779,1441
Valerie Espinoza,Croatia,door,set,768,1920
Timothy Lewis,Algeria,two,defense,3117,3687
Jessica Garcia,Italy,Mr,stage,4902,1937
Julia Williams,Angola,sense,describe,6041,2626
Robert Madden,Congo,such,any,6728,535
Brian Harris,France,forget,probably,1733,2341
Michelle Soto,East Timor,their,billion,6715,3730
Yolanda Huber,Afghanistan,Congress,whether,4901,3255
Stephanie Long,Germany,performance,pay,2182,1360
Sean Lane,Korea South,available,full,7365,328
George Vega,Republic,again,join,295,2595
Billy Russo,Afghanistan,break,appear,7522,1427
Jasmine Howell,Dominica,knowledge,near,446,1591
Olivia Newman,Cuba,decision,nor,7126,3162
Jennifer Combs,Denmark,population,teach,545,4473
Wayne Young,Algeria,me,red,613,2624
Patricia Cox,Germany,policy,control,1266,3598
Christopher Payne,Antigua,truth,but,5675,1612
Sandy Hayes,Congo,speak,floor,384,3687
Michael Barnes,Cyprus,service,democratic,3843,2878
Cindy Bates,Georgia,your,miss,9485,1208
Crystal Mckenzie,Angola,whom,support,1800,3986
Mr. Arthur Mccann,Georgia,nation,bring,8258,2065
Caitlyn Contreras,Comoros,study,body,2702,2985
Jesse Walker,Antigua,add,yard,3448,3699
Paul Morris,Croatia,back,painting,866,2488
Robert Barker,Algeria,card,nor,1277,1863
Victoria Clark,Congo,everybody,learn,567,3702
Meghan Gentry DDS,Germany,ready,with,487,4817
Michael Bass,Croatia,eat,note,733,4293
Mrs. Danielle Pierce,Denmark,firm,paper,9488,4980
Elizabeth Reilly,Cyprus,what,compare,4250,834
Tara Benson,Congo,through,magazine,3175,3618
Jessica Burgess,Cyprus,him,write,3297,2372
Patrick Jackson,Dominica,trial,old,3292,3550
Troy Silva,Ireland,Republican,would,6790,1943
Brenda Barker,Ecuador,ago,skill,6923,3153
Ashley Cordova MD,Albania,daughter,animal,202,1066
Adam Long,China,week,accept,5282,3152
Chelsea Sharp,Colombia,less,suddenly,9721,973
April Tate,Italy,former,they,6179,1401
Cynthia Franklin,Ireland,maintain,require,3075,3177
Mary Underwood,Algeria,role,know,5488,86
Sabrina Morgan,Angola,cut,than,9253,3906
Dr. Matthew Taylor DVM,Korea South,concern,local,7895,191
Alex Clay,Italy,future,artist,7992,4924
Dale Ferguson,Japan,carry,focus,8109,2041
Jason Peters,Comoros,officer,when,53,4307
David Powers,Comoros,green,feeling,2889,2526
Mrs. Rebecca Smith,Croatia,certain,board,7462,4818
April Dennis,Dominica,fund,paper,7484,3413
Joseph Carter,Argentina,develop,reach,6537,4612
Kevin Jones,France,country,camera,3387,3108
Dylan Carlson,Cyprus,image,behavior,8884,4326
Jacqueline Braun,Congo,move,institution,7168,4455
Alicia Garrison,Andorra,bank,able,5639,3603
Brent Gonzalez,Ecuador,seat,manager,3113,4091
Tiffany Meyer,Djibouti,detail,today,4504,2836
Tony Brown,Egypt,lay,on,1096,1590
Timothy Hill,Italy,left,phone,1248,1263
Kimberly Avila,East Timor,film,environment,734,4956
Maria Rivas,Argentina,probably,whether,752,4884
Tasha Little,Argentina,consumer,property,8578,3101
Nathan Hutchinson,France,both,ability,4082,2281
Tommy Brown,Republic,grow,scene,4980,964
Steven Acosta,France,discover,someone,8704,424
Jennifer Smith,Italy,product,three,6283,2251
Rebecca Smith,Algeria,two,go,1505,84
Sean Howell,Costa Rica,economic,would,6745,1272
Sabrina Harris PhD,Ecuador,particularly,serve,9761,469
Shirley Obrien,East Timor,chance,voice,4882,2292
Denise Collins,Czech,develop,head,4288,3167
Randall Dixon,China,deal,who,7436,1744
Robert Ward,United States,scene,answer,1769,1683
Mathew Bradley,Cyprus,long,class,924,822
James Caldwell,Egypt,place,really,120,1287
Lisa Ellis,East Timor,single,scientist,5775,4785
Linda Bailey,France,support,week,4494,519
Roger Parker,China,region,discuss,2828,2925
Christine Cook,Czech,provide,right,7128,1629
Randall Gonzalez,East Timor,religious,tell,7568,1505
Margaret Walker,Gabon,material,maintain,8230,3265
Johnny Brown,Andorra,skill,evidence,1177,3334
Aaron Singh,Algeria,remain,near,2223,173
Janet Pierce,Comoros,without,him,1068,2908
Zachary Richard,Egypt,approach,attorney,7216,4489
Melinda Bishop,Andorra,dog,affect,386,3710
Amanda Butler,Croatia,vote,teacher,8121,1287
Christopher Lopez,Gabon,always,animal,6429,2032
Justin Mills,Djibouti,trip,ask,6604,169
Dr. Maria Morris MD,Costa Rica,represent,southern,7564,3415
Mary Jennings,Denmark,lot,leave,1874,1454
Jill Hart,Djibouti,contain,recently,6660,16
Logan Johnson,Comoros,how,business,6782,4329
James West,Afghanistan,mind,like,9929,3869
Jesse Price,Albania,Republican,ball,1417,2053
Lori Booth,East Timor,material,maybe,4348,4143
Theresa Perez,Angola,imagine,information,9092,271
Laura Soto,Cuba,determine,mean,3781,4325
Mark Hale,China,identify,face,2237,249
Melissa Weiss,Georgia,analysis,figure,8851,1589
Jonathan Lawson,Republic,surface,similar,3797,1069
Matthew Sullivan,Japan,scene,member,4277,1424
Trevor Humphrey,Italy,around,remember,1933,1744
Leah Robbins,Albania,evidence,free,5814,3444
Cheyenne Snyder,Korea South,across,piece,8326,216
Jennifer Martin,Colombia,exactly,since,2244,602
Jason Foster,Comoros,face,military,5726,1579
David Morris,Egypt,forget,choice,3657,2970
Benjamin Hall,Czech,before,skill,8752,727
Sandra Hall,Italy,great,example,9315,3327
Tyler Elliott,Japan,stop,apply,9624,4146
Kenneth Decker,United Kingdom,mean,of,66,504
Randall Chavez,Cuba,a,blue,8126,563
Henry Allen,Georgia,begin,car,8530,2343
Jennifer Johnson,United Kingdom,security,western,7076,650
Stephanie Austin,Cuba,summer,religious,4402,2248
Jonathan Williams,Cuba,build,change,2105,1433
David Powell,Colombia,natural,until,8160,1576
Mallory Lewis MD,Denmark,attorney,ready,1161,1037
Scott Morris,Algeria,discussion,offer,4566,4796
William Price,Italy,choice,peace,1437,3526
Edward Wilson,Italy,tax,administration,7615,2920
Randy Jones,Dominica,teach,radio,6968,1098
Alyssa Rhodes,Dominica,policy,bit,4183,4019
Debra Byrd,Germany,election,whom,4800,3737
Eric Curry,Cyprus,Mrs,under,6034,527
Brian Snyder,Ecuador,body,hospital,1682,3065
Rebecca Love,Korea South,industry,effort,9143,3710
Ethan Hall,Ireland,order,region,5516,1241
Stephanie Rivera,Gabon,that,kid,9476,695
Jerry Bishop,Denmark,you,father,7918,4242
Ryan Miller,Croatia,meeting,until,221,4274
Dustin Henry,Andorra,discuss,feeling,892,1196
Lori Walters,Congo,night,figure,2601,1149
Dr. Kyle Matthews,Congo,former,assume,3009,224
Justin Miller,China,after,various,8669,3846
Mr. Christopher Lee,Costa Rica,open,fine,2969,2404
George Johnson,Ecuador,church,daughter,636,2653
Meredith Holt,Argentina,whom,answer,7676,3528
Anthony Little,Republic,accept,what,9356,740
Laura Reyes,Czech,member,mission,568,4429
Chloe Collins,Colombia,record,describe,9542,3269
Cynthia Wade,France,quickly,cause,4950,1243
Julie Williams,Egypt,mission,win,5532,4036
Charles Harris,Costa Rica,fund,because,7716,929
Tommy Cox,United States,want,offer,1615,942
Amanda Perry,United States,stage,wrong,2455,4680
James Bailey,Congo,fast,wrong,1371,1990
Elizabeth Lee,Georgia,term,lead,160,2662
Raven Maynard,Antigua,soldier,action,5180,4572
Ariana Wood,Andorra,crime,evidence,458,1936
Erica Bailey,Korea South,summer,the,8250,3160
Andrew Hansen,Angola,anything,record,3833,1271
Erin Diaz,Czech,I,sometimes,9806,19
Brian Vaughan,Gambia,ever,some,9880,10
Heather Livingston,East Timor,Democrat,work,5744,2512
Kathleen Nixon,Algeria,wrong,policy,292,1340
Christopher Vaughn,Ecuador,herself,up,4763,1131
Matthew Powell,Dominica,everyone,place,8294,1109
Charles Woods,United Kingdom,question,own,4136,4864
Jason Robbins,Egypt,positive,section,9077,4442
Fernando Lane,Albania,question,and,6869,1357
Joshua Gordon,Czech,able,direction,50,2374
Debra Curtis,Colombia,issue,word,9312,142
Christine Garcia,East Timor,left,section,6855,1756
Luis King,Georgia,role,evidence,1761,1881
James Wilkerson,Italy,off,specific,1996,1632
Mary Copeland,Algeria,guess,including,541,2891
Kathy Grant,Albania,reveal,talk,7522,825
Elizabeth Brown,Comoros,ten,voice,6647,2404
Thomas White,Antigua,big,dinner,3478,2031
Lynn Taylor,United Kingdom,career,Republican,5937,4524
Tina Anderson,Germany,girl,mean,5695,3528
Erin Bailey,Dominica,table,nature,5411,1022
Bryan Hull,Dominican Republic,seem,kid,9701,4228
Jason Schroeder,France,data,trouble,7542,422
Daniel Welch MD,Ireland,nice,live,9585,840
Lauren Mooney,Egypt,few,area,6741,3490
Angela Smith,Djibouti,very,source,9670,4218
Brady Guzman,Antigua,almost,manager,7619,1832
Ronald Adams,Ecuador,usually,officer,1344,493
Leslie Griffin,Czech,response,government,3051,323
Brenda Cardenas,Gabon,figure,involve,855,153
Stephanie Lopez,Ireland,own,far,6923,1003
Eric Kemp,Ireland,draw,stop,1184,2647
Jennifer Nguyen,United Kingdom,compare,lead,3200,554
Jose Flores,East Timor,simple,stock,8498,262
Chris Ball,Dominican Republic,sell,out,7745,1551
Angela Williams,Gabon,floor,mean,6817,4919
Susan Diaz,Japan,similar,wife,2157,4314
Tyler Parker,Dominican Republic,page,major,254,3199
John Ferguson,Congo,decide,board,4381,963
Linda Gross,United Kingdom,weight,box,1788,2239
Connor Mason,Croatia,people,tell,7170,3103
Patrick Johnson,Germany,act,wish,9704,2159
Emily Aguilar,Congo,office,billion,4497,3356
Brandon Jones,East Timor,present,near,7546,2134
Pamela Vazquez,Korea South,very,carry,8202,3382
Carol Weber,Costa Rica,station,assume,4455,4367
Julie Dominguez,Ecuador,generation,until,5405,3540
Jay Reynolds,Djibouti,woman,guy,8446,1029
Jennifer Cooper,Costa Rica,where,oil,2108,3871
Katherine Conway,Gabon,soldier,attorney,932,3811
Joshua Russell,United States,whether,stage,3608,4277
Dana Horn,Argentina,Congress,capital,9260,2049
Brandy Ashley,Congo,teach,parent,281,4475
Matthew Young,Congo,current,mouth,790,1656
Linda Adams,France,someone,author,1891,886
Lisa Porter,Argentina,artist,feel,2571,3245
Mrs. Megan Pena,East Timor,south,admit,7329,1416
Kenneth Ward,Japan,style,side,416,2373
Devin Richardson,Colombia,and,blood,8190,1523
Brandi Green,Gabon,mean,care,6962,1266
Glenn Brooks,Gambia,another,avoid,6710,3417
Mary Davis,Dominican Republic,market,sport,1124,597
Beverly Scott DDS,Gambia,according,herself,4942,1911
George Hawkins,China,process,real,2100,4821
Joseph Smith,Germany,pull,agree,2874,4789
Michelle Wilkerson,Algeria,include,federal,7953,2474
Christine Chavez,Algeria,everything,movie,5151,3791
Christina Green,Cuba,police,pass,6369,1594
Michael Johnson,Colombia,media,ready,4923,1732
Aaron Davis,Comoros,east,life,9650,4182
Dillon Smith,Croatia,director,other,3104,4351
Andrea Riggs,Ireland,rate,forget,3015,509
Kelly Callahan,Antigua,risk,state,3781,4394
Cheryl Jones,Comoros,man,then,2910,339
David Brewer,Dominican Republic,wind,nearly,415,4408
Heidi Brown,Albania,seek,product,6448,1075
Kevin Williams,Croatia,cup,give,9389,4487
Cody Smith,Czech,know,friend,6846,4573
Adam Williams,Republic,head,rich,7831,4166
Rebecca Bailey,Republic,face,traditional,5177,121
Jessica Sanchez,Gabon,public,machine,4171,838
Dr. Tamara White DVM,Colombia,investment,up,8756,589
Mr. Christopher Riley,Korea South,ask,soldier,8638,2389
Gregory Goodman,Republic,me,idea,8236,1131
Peggy Johnson,Croatia,majority,director,3451,2230
Brandy Fox,East Timor,record,human,2067,3890
Derrick Munoz,Republic,relationship,choose,5246,3398
Tammy Barrera,Comoros,crime,especially,4203,1845
Thomas West,Colombia,two,bar,3665,1131
Alexis Peters,Germany,number,radio,2987,2133
Dawn Hutchinson,Czech,one,since,8525,2109
Kellie Anthony,Ireland,job,office,4186,3150
Jessica Woods,Algeria,office,morning,1934,4509
Gina Burton,Georgia,fall,home,3622,4296
Veronica Hopkins,Dominican Republic,identify,game,3485,4627
Matthew King,Dominican Republic,subject,not,6965,4831
Allison Reed,Argentina,appear,discover,2129,3679
Dr. Christina Brown,Czech,commercial,score,8542,3676
Vicki Harrison,Czech,catch,as,5621,3286
Taylor Thomas,Costa Rica,sit,doctor,4734,583
Jordan Jones,Cuba,conference,operation,3018,4463
James Jones,Afghanistan,television,religious,8085,2025
Nicole Grimes,Ireland,task,pattern,1875,2686
Wanda Malone,Colombia,hard,back,2729,2554
Matthew Myers,Georgia,our,center,9526,2529
Mark Krause,Antigua,phone,them,560,2723
Brian Wilson,Angola,determine,sense,3936,1275
Corey Green,Angola,many,relationship,8118,413
Andrew Brown,Djibouti,production,book,6680,207
Sandra Santana,Algeria,close,stage,8973,2474
Carolyn Sawyer,Afghanistan,surface,thousand,3213,386
Scott Thomas,Korea South,read,former,9756,4568
Timothy Smith,Georgia,say,treatment,8623,1879
Ms. Tonya Brennan,Costa Rica,bag,whether,4618,767
Bonnie Payne,Colombia,west,push,1648,1490
Matthew Butler,Colombia,PM,man,4296,3549
Maria Davenport,Italy,seven,season,5155,2069
Jose Dougherty,United States,student,decade,2680,525
Jesse Bradley,Egypt,your,national,3222,2597
Kathleen Mendoza,East Timor,political,conference,3150,480
Dorothy Sullivan MD,Cuba,word,claim,9646,352
Barbara Garcia,Congo,want,less,8653,457
Mary Peterson,Comoros,one,prove,8976,3808
Lindsay Mills,Algeria,understand,bed,1956,1799
Carrie Aguilar,Gambia,face,happy,5577,3323
Allison Smith,China,outside,them,8936,2481
Richard Miller,Germany,major,house,9782,4390
Gary Alvarez,Ecuador,significant,activity,9700,1562
Emily Johnson,Antigua,southern,company,90,840
Marie Clark,United Kingdom,position,head,3393,2669
Michael Benson,Germany,spring,own,7431,4305
Joseph Wyatt,Andorra,now,consider,2352,2292
Kristina Brown,Albania,author,movement,8052,213
Elizabeth Phillips,Egypt,consumer,decide,105,734
Jamie Phillips,China,yes,whom,7745,4830
Maria Hernandez,Gambia,event,power,5206,4779
Craig Hammond,Albania,citizen,staff,7112,304
Joseph Morgan,Antigua,floor,report,7813,326
Laura Reeves,Algeria,else,during,5301,1643
Timothy Smith,United States,through,five,5528,1360
Tammy Rasmussen,Japan,girl,interest,8581,3845
Sheena Harper,Czech,ever,similar,8008,1196
Joseph Chen,East Timor,and,more,1340,1760
Cole Ramirez,Cyprus,believe,energy,3777,4991
Brandon Brown,Germany,way,your,9608,3135
Michelle Nguyen,Ireland,election,success,376,2384
James Burgess,Andorra,home,single,7856,3818
Christina Huynh,Cuba,positive,other,3876,3983
Jesse Lee,East Timor,message,almost,3305,986
Jordan Spears,Cyprus,sure,notice,7810,1117
Bryan King,Georgia,answer,information,1493,272
Wendy Little,Colombia,staff,agreement,9573,725
Jeremiah Hicks,Algeria,not,traditional,4825,917
Jeffrey Moon,Germany,learn,small,8480,4522
Charles Randall,Dominican Republic,owner,heart,2424,4612
Aaron Davies,Denmark,how,key,754,2779
Devin Roberts,Costa Rica,strategy,cover,16,3822
Tammy Hanson,Antigua,where,meet,4366,4570
Brooke Cochran,Antigua,prevent,speak,976,2289
Rachel Leonard,Ecuador,poor,anyone,3212,2321
Stephanie Gross,East Timor,information,vote,9865,3610
Judy Carpenter,China,past,amount,6808,475
Brett Mclaughlin,Costa Rica,audience,military,4467,331
Billy Roberts,Korea South,reality,kid,4715,2638
Michelle Ochoa,United States,argue,election,1907,1697
Dr. Jennifer Norman,Costa Rica,material,respond,9108,2557
Rachael Miller,Republic,prevent,hard,4642,2739
Harry Burton,United Kingdom,idea,technology,4526,4290
James Davis,United States,job,design,7035,66
Michael Costa,Georgia,always,growth,8387,1797
Stephanie Jones,Ireland,real,get,8555,4814
Stephanie Shea,Egypt,involve,job,2810,199
Michael Roberts,Congo,network,process,2433,1496
Andrew Morgan,Algeria,Mrs,everyone,5963,221
Ryan Norman,Croatia,yourself,push,9015,2874
Randy Carter,France,young,often,7193,1563
Whitney Jones,Japan,fund,stay,1713,849
Amanda Morris,Dominica,poor,medical,4805,3658
Thomas Torres,Czech,small,town,7660,3719
Debra Reyes,Djibouti,probably,decision,5934,3459
Pamela Ward,Congo,ago,investment,6109,2685
Suzanne Cline,Albania,throw,effect,9494,4653
Lisa Sanchez,Germany,catch,total,3819,728
Jason Wall,Dominica,pick,record,4073,2778
Jesus Fitzgerald,Italy,enough,single,5566,1236
Don Russell,Republic,doctor,represent,4484,3255
Jason Solis,Comoros,occur,up,3214,831
Howard Martin,Egypt,result,rich,3777,4370
Rhonda Carroll,Argentina,fear,eight,4751,4762
Louis Wright,Colombia,network,authority,6712,3665
Grace Sparks,United Kingdom,ok,suffer,9426,4777
Michael Taylor,France,her,fine,148,4676
Erin Mcintyre,Antigua,act,operation,4086,4599
Barbara Jones,Ireland,teacher,partner,8210,1296
Briana Martinez,Republic,road,sense,2152,1946
Nathaniel Jones,Ireland,quickly,where,5436,18
Jennifer Kim,Comoros,his,improve,3500,3353
Michael Day,Colombia,hot,name,5169,3951
Tony Lopez,Ecuador,step,ten,7705,3917
Victoria Santos,Ecuador,increase,generation,7312,3987
Paul Wade,China,Mr,medical,399,2895
David Martinez,Algeria,before,theory,1888,689
Leslie Scott,Congo,girl,tell,8793,3069
Susan Thomas,Cyprus,well,responsibility,2564,2473
Brittany Gomez,Colombia,must,town,7592,726
Brandon Suarez,Congo,issue,for,5113,2036
Frank Munoz,Gambia,house,senior,4818,2364
William Sanchez,Italy,food,meet,5176,3639
Troy Brewer,Ireland,meet,necessary,2207,3329
William Huang,Albania,interview,wait,4687,4735
Jay Norton,United Kingdom,campaign,financial,3808,228
Daniel Ross,Cuba,certainly,follow,1842,70
Samantha Powers,East Timor,service,painting,6045,3290
Eric Brown,Gabon,quite,remain,2490,1307
Melissa Perry,Gambia,whether,upon,8948,2377
Alexander Davidson,Colombia,north,memory,7597,3573
Matthew Cooper,Afghanistan,home,nothing,8412,2586
Ryan Todd,Gabon,member,you,6240,3361
Diana Silva,Korea South,pick,clear,1194,2498
Paul Ray,Georgia,many,both,1051,1733
Jonathan Fisher,Georgia,just,long,4579,3871
Adrienne Moore,Cuba,reality,mother,7250,3817
Eric Martin DDS,Comoros,its,Congress,3670,3629
Colton Kent,Costa Rica,memory,board,325,3943
Crystal Oliver,Dominican Republic,machine,east,4278,2800
Shelia Mendoza,Italy,conference,leader,5077,1501
Taylor Hicks,Ecuador,president,recently,1876,3146
Holly Vazquez,Dominica,just,voice,1930,3142
Susan Marquez,Angola,half,require,5058,4296
Linda George,Egypt,act,hear,7188,4923
Michael Torres,China,ability,this,8692,4866
Allen Ramirez,France,field,strategy,4632,4718
Traci Taylor,Cyprus,fast,guess,4756,4703
Angela Black,Croatia,positive,yard,5608,2941
Kathleen Kelley,Czech,family,morning,2819,1346
Corey Neal,Djibouti,environment,boy,9043,954
Madison Myers,East Timor,section,military,4712,3753
Tiffany Garcia,Antigua,rather,week,9768,3127
Nancy Short,Gambia,hot,assume,2443,3679
Laura Wade,Ecuador,ask,rise,114,1376
Jessica Thomas,Gabon,into,floor,9389,4369
Michael Velazquez,Albania,like,western,7973,2961
Scott Gibbs,Angola,suffer,analysis,3683,1935
Kelsey Burke,Gabon,significant,miss,1650,4698
Christopher Gomez,Albania,them,third,6400,1134
Mallory Parker,Germany,indeed,forget,7387,2973
Robert Petersen,Germany,they,position,1391,4300
Teresa Davis,Gabon,sing,carry,3530,195
Alisha Miller,Argentina,brother,specific,8447,1668
Christina Hayes,Gambia,leg,information,3737,2743
Wendy Arnold,Germany,forget,company,1557,3366
Ryan Thompson,Congo,American,remember,6145,750
Sierra Moses,Germany,sea,model,4365,4654
Victoria Lane,China,resource,city,2133,4389
Ricardo Smith,Ireland,law,hard,3151,4190
Samantha Jennings,Czech,nor,similar,5079,2674
Michael Allen,Korea South,success,option,1624,4594
Gerald Briggs,Japan,care,nearly,9888,2851
Kathy Henry,Egypt,believe,show,2960,3327
Tammy Baker MD,Andorra,hot,build,7615,300
Scott Johnson,Georgia,task,where,8096,4103
Robyn Malone,United Kingdom,better,summer,1332,2180
Amy Flores,Georgia,sometimes,own,9753,4164
Tyler Mcgee,Congo,first,center,8082,3349
Randy Smith,Afghanistan,paper,task,9734,2347
Ann Roberts,Gambia,any,oil,4404,4993
Amber Gibson,Comoros,send,help,1236,632
Lauren Smith,Algeria,student,general,1114,827
Brianna Kramer,Germany,main,will,4832,397
Dana Monroe,Afghanistan,region,trial,1094,1336
Elizabeth Jarvis,Algeria,we,vote,2569,557
David Stone,Republic,year,no,5313,240
Lisa Kim,Comoros,word,ago,7541,3712
Joseph Figueroa,Djibouti,field,discover,1261,190
Robert Rios,France,first,scene,5433,3515
Alicia Anderson,Korea South,real,common,8079,3829
Carol Sharp,United States,stock,military,4271,2428
Travis Andrews,Colombia,capital,task,2563,2229
Dr. Shelby Brennan,United Kingdom,board,yes,846,4476
Crystal Reed,Argentina,necessary,common,6227,2596
Angela Ibarra,Gabon,to,term,8985,4577
Sarah Smith,United Kingdom,peace,social,1485,3493
Annette Chapman,Costa Rica,describe,trade,9310,3443
Colin Brooks,China,fund,series,6142,1814
Theresa Cox,Egypt,gun,particular,6063,1254
Teresa Alvarez,Afghanistan,kitchen,central,5221,1238
Joseph Guzman,United States,player,benefit,6611,1882
Elizabeth Hill,East Timor,leader,future,7502,1838
Benjamin Norris,Egypt,soldier,lead,6142,3065
Alexandra Hunter,Japan,show,purpose,3860,2229
Scott Pearson,Cuba,tax,race,2482,1073
Thomas Hahn,Korea South,industry,nearly,1730,3405
Brianna Collins,Afghanistan,necessary,age,68,3461
Tommy Austin,Colombia,time,expert,5023,1029
Diane Joseph,France,much,look,1168,1697
Alexis Brady,Denmark,wonder,can,1488,882
